Timestamp,x,y,z,alpha,beta,gamma,keyPressed,key_x,key_y,key_down,key_released
112093598639546,0.095051765,0.07187542,-0.0851984,0.17642212,-0.127182,-0.0438385,KEYCODE_2,1047.0,625.0,105885180,105885246
112094243170796,-0.065460205,0.038259767,0.21977377,-0.032714844,0.010604858,-0.021057129,KEYCODE_4,280.0,729.0,105885762,105885861
112094857489643,0.031023026,-0.035302598,0.12290907,0.20227051,0.030731201,-0.016677856,KEYCODE_0,1007.0,1013.0,105886402,105886493
112095491950092,-0.026104927,0.11844756,0.2562251,-0.064971924,0.036590576,-0.016494751,KEYCODE_4,310.0,723.0,105887009,105887100
112096096198139,0.06822109,0.14249802,-0.123446465,0.1506195,-0.06774902,-0.0075683594,KEYCODE_6,1503.0,723.0,105887591,105887657
112096655127583,0.046004295,-0.047552466,0.20308304,0.15638733,-0.08804321,-0.0071411133,KEYCODE_9,1451.0,882.0,105888173,105888247
112097244269428,-0.024421692,0.053987116,0.47359133,-0.05432129,0.022109985,-0.012374878,KEYCODE_1,251.0,600.0,105888788,105888895
112097893836079,0.0768404,-0.05087771,0.23712873,0.15377808,-0.106903076,-0.0071868896,KEYCODE_9,1430.0,894.0,105889378,105889444
112098437659321,0.031064034,-0.20012294,0.5845828,0.222229,-0.12445068,0.02243042,KEYCODE_0,1077.0,1001.0,105889951,105890050
112099046942768,0.184515,0.16758612,-0.08742523,0.06341553,0.03717041,-0.08592224,KEYCODE_2,1060.0,605.0,105890625,105890674
112099671332417,0.12274265,0.09300536,0.2727313,-0.09094238,0.045288086,0.0061035156,KEYCODE_4,295.0,718.0,105891215,105891281
112100280615864,0.022155762,0.072140545,0.21043587,0.18647766,-0.111846924,-0.044677734,KEYCODE_3,1533.0,559.0,105891739,105891813
112100809332905,0.0072689056,-0.047023352,0.29387712,0.15943909,-0.07563782,-0.013259888,KEYCODE_0,1007.0,1004.0,105892363,105892445
112101443793354,0.10266304,0.08228444,0.47078466,0.35379028,-0.10029602,-0.05769348,KEYCODE_3,1505.0,595.0,105892903,105892994
112101992651997,0.049451828,0.08651739,0.61908436,0.26002502,-0.052719116,-0.08528137,KEYCODE_2,1069.0,615.0,105893502,105893560
112102556631000,0.059368134,0.06430911,0.57656574,-0.10786438,0.07937622,0.008026123,KEYCODE_7,351.0,879.0,105894092,105894175
112103170949848,0.0077819824,0.07433404,-0.114079,0.23747253,-0.06896973,-0.05545044,KEYCODE_3,1499.0,571.0,105894633,105894698
112103699666889,-0.0044879913,-0.017256409,0.67238283,-0.07218933,0.018859863,-0.016998291,KEYCODE_1,237.0,597.0,105895248,105895347
112104344198139,0.031585693,0.110583656,-0.04406023,0.14230347,-0.105270386,-0.037399292,KEYCODE_6,1465.0,756.0,105895805,105895871
112104867879780,0.02202034,0.014160924,0.051389217,0.3558197,-0.10699463,-0.022140503,KEYCODE_8,1070.0,901.0,105896387,105896469
112105467092426,0.093886375,0.16664311,0.114608765,0.056671143,-0.018203735,-0.075912476,KEYCODE_2,1061.0,571.0,105896977,105897009
