id,Timestamp,x,y,z,a,b,c,alpha,beta,gamma,x_ra,y_ra,z_ra
8610,1485113696447,0.06614065,-0.0014590025,0.13209295,0.022537231,-0.014801025,-0.0032958984,8.36673,-6.731151,38.457367,5.913986,0.8894348,7.4473114
8611,1485113696453,0.0482378,0.04943824,0.084569454,0.0262146,-0.022827148,-0.0030059814,8.361603,-6.7378263,38.46023,5.9498596,0.89082336,7.4770203
8612,1485113696457,0.023350239,0.04312378,-0.0049915314,0.030059814,-0.024368286,-0.002243042,8.407349,-6.7491875,38.46577,5.930008,0.91897583,7.4106445
8613,1485113696462,0.0034255981,0.07217628,0.005320549,0.032348633,-0.023620605,-0.0033111572,8.391663,-6.76192,38.473557,5.9081573,0.92974854,7.3632507
8614,1485113696469,7.343292E-5,0.05846733,-0.08349991,0.031188965,-0.024658203,-0.003036499,8.380615,-6.7771597,38.479847,5.8964233,0.9423065,7.3313293
8615,1485113696473,-0.005482197,0.05235827,-0.089111805,0.027389526,-0.024856567,-4.5776367E-5,8.360443,-6.792517,38.489746,5.893097,0.9333801,7.275284
8616,1485113696476,-0.044027805,0.06303549,-0.1678896,0.02204895,-0.022262573,0.003479004,8.296814,-6.8042645,38.49863,5.8728485,0.9359894,7.234024
8617,1485113696481,-0.056170464,0.01500994,-0.13048458,0.0140686035,-0.018478394,0.007095337,8.275909,-6.815641,38.508316,5.846695,0.92051697,7.206543
8618,1485113696487,-0.020915031,-0.020370603,-0.17377138,0.005004883,-0.01576233,0.010955811,8.258881,-6.8204107,38.515625,5.856827,0.8782959,7.2048492
8619,1485113696492,-0.082669735,-0.0030755997,-0.21680498,-0.0051727295,-0.01361084,0.01361084,8.234375,-6.8196974,38.525166,5.846924,0.8669586,7.1593475
8620,1485113696497,-0.04238081,0.028787434,-0.21235514,-0.015075684,-0.0115356445,0.016723633,8.167511,-6.8168526,38.533016,5.8319244,0.8894348,7.1363983
8621,1485113696502,-0.04478073,0.032280862,-0.16322708,-0.02418518,-0.009399414,0.01991272,8.142822,-6.811697,38.54202,5.8535156,0.90779114,7.158539
8622,1485113696507,-0.05420971,0.024387062,-0.16179848,-0.031585693,-0.007171631,0.022232056,8.12439,-6.8045373,38.548306,5.8475647,0.9045105,7.1853333
8623,1485113696512,-0.07054043,0.028455675,-0.051887512,-0.034866333,-0.004486084,0.022262573,8.106201,-6.7933326,38.55395,5.834488,0.9007721,7.2390747
8624,1485113696517,-0.039382935,-0.02660656,-0.025613785,-0.03327942,-7.324219E-4,0.0206604,8.11087,-6.7807293,38.554684,5.8413696,0.8735962,7.307846
8625,1485113696522,-0.05320835,0.0035014749,0.031059742,-0.027923584,0.0024871826,0.018508911,8.104889,-6.7649183,38.55493,5.8498077,0.8591461,7.349579
8626,1485113696527,-0.017249107,-0.030652344,0.10846186,-0.020217896,0.004547119,0.015945435,8.108856,-6.7526317,38.551743,5.8594055,0.8566742,7.414978
8627,1485113696532,-0.02406454,-0.0792833,0.12390423,-0.0105896,0.0051879883,0.012741089,8.116821,-6.7396526,38.54692,5.875,0.814209,7.4645386
8628,1485113696537,-1.8882751E-4,-0.045274973,0.09445572,-5.187988E-4,0.002960205,0.009384155,8.106934,-6.7281113,38.54141,5.88356,0.8049927,7.458557
8629,1485113696542,0.02814293,-0.06155038,0.09604311,0.009155273,8.544922E-4,0.006713867,8.113464,-6.722058,38.538055,5.9100037,0.8123169,7.446045
8630,1485113696547,0.05153179,-0.014360428,0.13542318,0.017684937,9.1552734E-4,0.0034332275,8.116547,-6.7183633,38.536358,5.9362183,0.8296509,7.468643
8631,1485113696552,0.013462067,-0.034006238,0.091807365,0.024642944,0.0037078857,2.746582E-4,8.123169,-6.7205877,38.534065,5.926956,0.8417816,7.4646606
8632,1485113696557,-5.1784515E-4,0.016959846,0.053184986,0.030288696,0.007293701,-0.0017852783,8.113342,-6.724524,38.53084,5.90213,0.85928345,7.425644
8633,1485113696562,0.016370296,-0.019853175,-0.018213749,0.036224365,0.010528564,-0.0017547607,8.127228,-6.7348127,38.526783,5.9035187,0.8671112,7.3703003
8634,1485113696567,0.035678864,-0.09205824,-0.13871717,0.042892456,0.015625,4.7302246E-4,8.133972,-6.743334,38.525276,5.9221954,0.81022644,7.2683563
8635,1485113696572,-0.10069418,-0.07159293,-0.038908005,0.04397583,0.023864746,0.002029419,8.131836,-6.750249,38.52702,5.853653,0.79016113,7.2697144
8636,1485113696577,0.014622211,-0.10765284,-0.05589962,0.0365448,0.032928467,0.0043029785,8.130615,-6.7574596,38.517967,5.857071,0.7795105,7.304489
8637,1485113696582,0.077236176,-0.04372698,-0.035196304,0.025222778,0.038482666,0.008728027,8.147827,-6.759884,38.511566,5.942032,0.80036926,7.309372
8638,1485113696587,0.047418118,0.015424669,-0.07385731,0.015594482,0.039871216,0.012741089,8.164551,-6.7618723,38.505287,5.9523773,0.85980225,7.298416
8639,1485113696592,0.04109335,0.04856056,0.01787138,0.005783081,0.03579712,0.015991211,8.147675,-6.764095,38.497635,5.9339905,0.9058075,7.330963
8640,1485113696597,0.0109910965,0.12199819,0.071195126,-0.0040893555,0.026763916,0.018692017,8.230988,-6.764542,38.489544,5.912613,0.96421814,7.4054413
8641,1485113696602,0.0846858,0.11954796,0.06764603,-0.009536743,0.018356323,0.020217896,8.231232,-6.765962,38.48007,5.9434357,0.9934082,7.4267273
8642,1485113696607,0.08203888,0.09588075,0.028869152,-0.01020813,0.013381958,0.018737793,8.22345,-6.7654333,38.47612,5.9721527,0.97821045,7.403
8643,1485113696612,0.058109283,0.14532685,0.10144043,-0.0059051514,0.011444092,0.014221191,8.212799,-6.7637563,38.47486,5.956833,0.9988098,7.4322205
8644,1485113696617,0.06746149,0.18917167,0.02944088,0.002670288,0.0110321045,0.008483887,8.308868,-6.7668037,38.470654,5.952774,1.0441742,7.4211273
8645,1485113696622,0.022462845,0.14481181,-0.05371952,0.012268066,0.012878418,0.0032196045,8.306122,-6.776878,38.468647,5.9307404,1.0390472,7.3418274
8646,1485113696627,0.0015468597,0.08400029,-0.06541824,0.017181396,0.01423645,7.6293945E-4,8.30246,-6.7886314,38.46746,5.8984985,0.98435974,7.299408
8647,1485113696632,0.032647133,0.023647666,-0.062777996,0.016662598,0.010910034,-9.765625E-4,8.298889,-6.798813,38.46523,5.9095154,0.92448425,7.2963257
8648,1485113696637,-0.061810017,0.029904783,-0.13790941,0.015197754,0.0055389404,-0.0024414063,8.356873,-6.8055234,38.46509,5.8614197,0.9064636,7.2493744
8649,1485113696642,-0.028196335,0.043207288,-0.08007717,0.012756348,1.6784668E-4,-0.0048828125,8.353943,-6.813263,38.464996,5.847122,0.9181824,7.2572784
8650,1485113696647,-0.018583298,0.01867193,-0.15955162,0.0090789795,-0.0024261475,-0.0060577393,8.353516,-6.8214283,38.465816,5.864914,0.9094391,7.2306976
8651,1485113696652,0.012274742,0.022954464,-0.12515545,0.00340271,3.9672852E-4,-0.0054016113,8.34613,-6.8283854,38.47051,5.887741,0.9025116,7.2175903
8652,1485113696657,0.040709496,0.03928387,-0.07234955,-0.0053710938,0.0059661865,-0.004989624,8.358643,-6.8330426,38.474712,5.9184265,0.9152374,7.26474
8653,1485113696662,-0.015899658,0.018016279,-0.15943241,-0.012924194,0.010635376,-0.004272461,8.354279,-6.8360047,38.476818,5.890732,0.9069214,7.224945
8654,1485113696667,0.0035762787,-0.0028058887,-0.0074658394,-0.019348145,0.01210022,-0.0032043457,8.35083,-6.835721,38.47813,5.8838043,0.8854523,7.2955017
8655,1485113696672,0.032327652,-0.018546104,0.09600687,-0.023651123,0.01210022,-0.0028533936,8.35733,-6.8307567,38.474934,5.909256,0.8671112,7.4168243
8656,1485113696677,0.058491707,-0.04107672,0.09000397,-0.026062012,0.011428833,-0.0028533936,8.387604,-6.8225107,38.469738,5.935196,0.84664917,7.4489594
8657,1485113696682,0.05361271,-0.021022499,0.10069656,-0.026168823,0.00894165,-0.0021514893,8.394196,-6.811595,38.465755,5.94191,0.8501129,7.454941
8658,1485113696687,0.044040203,-0.038877785,0.10422611,-0.02507019,0.008544922,-0.0025024414,8.400238,-6.8027225,38.462242,5.9337463,0.84375,7.4623413
8659,1485113696692,0.029787064,-0.033056676,0.14553595,-0.022521973,0.0066833496,-0.002105713,8.406647,-6.7924776,38.458416,5.9208984,0.84098816,7.4933624
8660,1485113696697,0.03207445,-0.08166289,0.12758017,-0.019302368,0.004196167,-0.0010375977,8.411926,-6.782935,38.453003,5.918106,0.807724,7.495102
