id,Timestamp,x,y,z,a,b,c,alpha,beta,gamma
5299,13640348414882,0.07462931,0.021556854,0.01083231,-0.06573486,0.021850586,-5.493164E-4,246.45421,-8.009047,45.00794
5300,13640353419765,0.022764683,0.034921527,-0.08462191,-0.038345337,0.01852417,-0.009643555,246.46338,-7.996335,45.00564
5301,13640358394130,0.046850204,-0.028491497,0.038069725,-0.014343262,0.020858765,-0.016113281,246.46553,-7.9877524,45.00032
5302,13640363399013,0.007174015,-0.09232205,-0.0031814575,0.0061035156,0.027526855,-0.022354126,246.45987,-7.983084,44.99385
5303,13640368373378,-0.06030321,-0.15411484,0.02192831,0.026107788,0.029449463,-0.026824951,246.44537,-7.9809813,44.98269
5304,13640373744472,-0.07282734,-0.13603884,-0.042844772,0.044403076,0.025863647,-0.027511597,246.43777,-7.9885955,44.97243
5305,13640378352626,-0.09971762,-0.15615052,-0.1138134,0.06340027,0.019226074,-0.026123047,246.38806,-7.998199,44.96648
5306,13640383326991,-0.14068079,-0.11541206,-0.21228647,0.07803345,0.014343262,-0.0231781,246.38806,-8.0178995,44.963512
5307,13640388331874,-0.12480259,-0.13434178,-0.1704669,0.08557129,0.014877319,-0.018066406,246.38303,-8.038776,44.961056
5308,13640393306239,-0.03104353,-0.14130604,-0.25185966,0.08413696,0.028717041,-0.013183594,246.38089,-8.059802,44.963913
5309,13640398311122,-0.013115406,-0.15973556,-0.24812508,0.073028564,0.047973633,-0.0074005127,246.33002,-8.076449,44.963165
5310,13640403682216,-0.07484293,-0.2601782,-0.33966732,0.05229187,0.06529236,-0.003250122,246.30905,-8.081977,44.957455
5311,13640408290370,-0.15949917,-0.2546907,-0.33164263,0.018981934,0.07064819,0.002243042,246.28394,-8.076862,44.94695
5312,13640413264735,-0.20315027,-0.15838546,-0.12101221,-0.019744873,0.06341553,0.008834839,246.25815,-8.066123,44.92539
5313,13640418269618,-0.14281416,-0.10626066,0.057215214,-0.05836487,0.05859375,0.0118255615,246.23483,-8.044739,44.90149
5314,13640423243983,-0.021748066,-0.06746811,0.09229326,-0.08944702,0.05683899,0.011489868,246.21347,-8.014913,44.88174
5315,13640428248866,0.04396391,0.021537006,0.15533113,-0.11048889,0.053359985,0.010437012,246.20282,-7.9824753,44.862167
5316,13640433619960,5.4883957E-4,0.08235127,0.3640747,-0.11752319,0.05038452,0.008804321,246.18983,-7.944679,44.833252
5317,13640438228114,-0.00268507,0.123209774,0.45108795,-0.10966492,0.051849365,0.0042877197,246.17462,-7.914288,44.803627
5318,13640443202479,-0.01276207,0.18718296,0.45693016,-0.09223938,0.056533813,-0.0021820068,246.17413,-7.8895016,44.77131
5319,13640448207362,0.03409815,0.16484183,0.53345585,-0.06628418,0.060760498,-0.008239746,246.1709,-7.869163,44.73639
5320,13640453212245,0.09960413,0.18410558,0.41577578,-0.03652954,0.05937195,-0.013626099,246.17921,-7.8605084,44.706642
5321,13640458186610,0.11964035,0.15012932,0.39137173,-0.009277344,0.04750061,-0.01776123,246.17204,-7.8597555,44.679314
5322,13640463557704,0.12267208,0.06817567,0.29209232,0.014541626,0.026412964,-0.019500732,246.17632,-7.8636417,44.65874
5323,13640468165858,0.1082592,0.02397269,0.34806728,0.036315918,0.0019683838,-0.021057129,246.17303,-7.870969,44.6436
5324,13640473170741,-0.008223534,-0.027767122,0.3666048,0.055267334,-0.017623901,-0.021484375,246.16165,-7.882383,44.629734
5325,13640478145106,-0.058256626,-0.11744887,0.12366104,0.07095337,-0.030075073,-0.017990112,246.15234,-7.8957787,44.628372
5326,13640483149989,0.0545969,-0.11707014,-0.15220928,0.07873535,-0.039596558,-0.011703491,246.15414,-7.91575,44.644367
5327,13640488124354,0.09771633,-0.10016984,-0.24368191,0.07484436,-0.047454834,-0.0065460205,246.1612,-7.9382343,44.66798
5328,13640493556483,0.057448387,0.032350957,-0.11446285,0.059249878,-0.049606323,-0.004425049,246.1776,-7.9685254,44.68844
5329,13640498103602,0.01773405,0.08925986,0.010961533,0.03768921,-0.045578003,-0.0036010742,246.19356,-7.992431,44.70086
5330,13640503108485,0.079845905,0.12731421,-0.114938736,0.018203735,-0.039520264,-0.0046844482,246.22115,-8.015938,44.71987
5331,13640508082850,0.08027363,0.21522844,-0.25660658,-0.0021362305,-0.035705566,-0.0067596436,246.26645,-8.041611,44.7417
5332,13640513087733,0.09262705,0.21802562,-0.29343987,-0.027832031,-0.028900146,-0.009994507,246.31476,-8.062555,44.76419
5333,13640518062098,0.067358494,0.122390985,-0.25242186,-0.054519653,-0.017501831,-0.012145996,246.35986,-8.06962,44.78264
5334,13640523433192,0.0166893,-0.11786902,-0.13433456,-0.07484436,-0.0012359619,-0.011276245,246.35728,-8.049887,44.79322
5335,13640528041347,-0.06839371,-0.1668716,0.012825012,-0.083465576,0.020599365,-0.006286621,246.33752,-8.020903,44.790817
5336,13640533046229,-0.08600569,-0.23612106,-1.487732E-4,-0.08508301,0.042160034,-3.6621094E-4,246.30618,-7.981194,44.78282
5337,13640538020595,-0.11224508,-0.18417495,0.14916515,-0.08390808,0.060913086,0.0044555664,246.26859,-7.9408994,44.762558
5338,13640543025477,-0.097531796,-0.13251883,0.39104128,-0.075546265,0.06854248,0.009338379,246.22662,-7.899976,44.728806
5339,13640547999843,-0.01661396,-0.0011532903,0.47961998,-0.05822754,0.05935669,0.014526367,246.19753,-7.868328,44.692226
5340,13640553370936,0.023330212,-0.05993694,0.5086489,-0.030593872,0.033828735,0.017730713,246.15834,-7.8343306,44.65784
5341,13640557979091,0.02410841,-0.03434795,0.5504565,0.0070648193,-2.4414063E-4,0.018234253,246.11603,-7.812545,44.631054
5342,13640562983973,0.033326626,0.020677745,0.3782401,0.045135498,-0.02696228,0.017028809,246.0956,-7.8064938,44.618988
5343,13640567958339,0.043937206,0.10464764,0.1424241,0.07249451,-0.043563843,0.014251709,246.09856,-7.820839,44.622887
5344,13640572963222,0.063342094,0.18688881,-0.2347269,0.08354187,-0.053985596,0.012268066,246.13116,-7.854245,44.645214
5345,13640577937587,0.12710571,0.14759564,-0.36520338,0.08114624,-0.056915283,0.009460449,246.14478,-7.890579,44.677505
5346,13640583308681,0.10273552,0.013985097,-0.32669783,0.06982422,-0.05090332,0.005722046,246.1629,-7.9193563,44.71048
5347,13640587916835,0.031828403,-0.11321759,-0.20644331,0.054733276,-0.034988403,0.003692627,246.15874,-7.9324145,44.733215
5348,13640592921718,-0.045220852,-0.2273227,-0.22684336,0.0362854,-0.0135650635,0.0032806396,246.13882,-7.935133,44.751465
5349,13640597896083,-0.09260845,-0.24548364,-0.32574654,0.014465332,0.004989624,0.005996704,246.12556,-7.9317446,44.76563
5350,13640602900966,-0.049278736,-0.17774397,-0.46468592,-0.009567261,0.012924194,0.009628296,246.11957,-7.9271026,44.780605
5351,13640607875331,-0.055583954,-0.12147498,-0.45417643,-0.033233643,0.012756348,0.014007568,246.1182,-7.918204,44.792156
5352,13640613246425,-0.021679878,-0.052811205,-0.3778329,-0.05645752,0.013290405,0.018829346,246.12096,-7.9041586,44.801655
5353,13640617854579,-0.10144186,0.051311255,-0.1959076,-0.07569885,0.01979065,0.02180481,246.13904,-7.89039,44.80196
5354,13640622859462,-0.121337414,0.14841235,0.02903843,-0.08569336,0.029876709,0.023239136,246.14413,-7.873017,44.791454
5355,13640627833827,-0.08174896,0.21443707,0.018054962,-0.08920288,0.039916992,0.022842407,246.15817,-7.8564434,44.77981
5356,13640632838710,-0.01854229,0.27063346,-0.009720802,-0.086883545,0.0488739,0.022506714,246.18176,-7.842327,44.768253
5357,13640637813075,-0.035827637,0.22714388,-0.032826424,-0.07785034,0.061294556,0.021102905,246.21707,-7.825658,44.754562
5358,13640643184169,-0.09728336,0.12969011,0.15382051,-0.05973816,0.0745697,0.017410278,246.21188,-7.7999163,44.72789
5359,13640647792323,-0.13684559,0.055561125,0.2846346,-0.03340149,0.08125305,0.013000488,246.19267,-7.777003,44.694324
5360,13640652797206,-0.13075972,0.047425985,0.39983177,-0.003768921,0.073776245,0.007904053,246.16791,-7.758133,44.65292
5361,13640657771571,-0.091790676,0.06893176,0.21926928,0.021606445,0.05557251,0.0025177002,246.17691,-7.7523565,44.62024
5362,13640662776454,-0.11737013,0.11280984,0.10221672,0.038101196,0.031036377,-0.0036773682,246.1791,-7.7605295,44.594772
5363,13640667750819,-0.06085682,0.05401379,0.034196377,0.046829224,0.008056641,-0.009811401,246.18176,-7.773025,44.580406
5364,13640673121913,0.020411015,0.006807804,0.01242733,0.04899597,-0.012466431,-0.015701294,246.18549,-7.789325,44.57636
5365,13640677730067,0.17822123,-0.042387366,-1.5216088,0.021484375,-0.040252686,-0.020339966,246.22716,-7.8180184,44.63843
5366,13640682734950,0.16397095,0.029476881,0.038413048,-0.0040130615,-0.04260254,-0.025497437,246.24297,-7.835328,44.65117
5367,13640687709315,-0.020497322,-0.092024624,0.35586643,-0.0069885254,-0.011627197,-0.02746582,246.22684,-7.8344316,44.64979
5368,13640692714198,-0.0044317245,-0.09426284,-0.2129159,-0.008285522,0.009735107,-0.026824951,246.236,-7.8361497,44.66305
5369,13640697688563,0.0666914,-0.03746432,-0.074412346,-0.016815186,0.01461792,-0.02418518,246.22171,-7.839456,44.66597
5370,13640703059657,0.09272337,-0.065867364,0.13809252,-0.019363403,0.016860962,-0.019088745,246.21948,-7.83608,44.659416
5371,13640707698329,0.09725666,-0.09132683,0.04902649,-0.014022827,0.019042969,-0.015396118,246.21492,-7.828799,44.656624
5372,13640712672694,0.01922512,-0.104739904,0.040863514,-0.0075683594,0.016708374,-0.008575439,246.20566,-7.8202696,44.65056
5373,13640717677577,0.04330969,-0.1322406,0.22873926,-0.0038146973,0.020751953,-0.0010223389,246.18636,-7.808316,44.63918
5374,13640722651942,0.050667763,-0.09332919,0.3300624,-0.0033416748,0.02708435,0.0065460205,246.1616,-7.7973967,44.624302
5375,13640727626307,0.09589338,0.009186327,0.32885313,-0.0033416748,0.0262146,0.010147095,246.14804,-7.791898,44.609253
5376,13640733027919,0.03463602,0.03316033,0.5635648,0.004058838,0.010055542,0.014465332,246.12299,-7.78388,44.582558
5377,13640737636073,0.037165165,-0.006882727,0.62683105,0.023254395,-0.015151978,0.018844604,246.10522,-7.773673,44.55786
5378,13640742610438,0.038969517,-0.02565378,0.48494244,0.04559326,-0.033294678,0.020263672,246.07516,-7.7669797,44.544388
5379,13640747615321,0.08488798,-0.002398491,0.38044405,0.06149292,-0.044769287,0.020370483,246.05397,-7.769139,44.542343
5380,13640752589686,0.1394124,0.015346885,0.1923666,0.06877136,-0.04673767,0.015457153,246.0453,-7.78003,44.552715
5381,13640757564052,0.21454668,0.12692845,-0.16150665,0.06286621,-0.050491333,0.0104522705,246.07712,-7.8062325,44.57932
5382,13640762965663,0.18262339,0.050789893,-0.03298998,0.052886963,-0.051086426,0.0047454834,246.0875,-7.828726,44.60237
5383,13640767573817,0.0850935,0.020514667,0.141397,0.04714966,-0.044036865,0.0033416748,246.08615,-7.8438563,44.613964
5384,13640772548182,0.08044863,-0.023652136,0.090065956,0.04685974,-0.04260254,0.0032806396,246.08234,-7.856179,44.62732
5385,13640777553065,0.09958267,-0.053226292,0.064986706,0.049942017,-0.052841187,0.0043182373,246.07352,-7.8659744,44.64125
5386,13640782527431,0.04286766,-0.120349824,0.026108265,0.05316162,-0.06462097,0.00642395,246.05911,-7.8718104,44.656124
5387,13640787532313,0.0027604103,-0.11852026,-0.08522797,0.04937744,-0.064971924,0.009399414,246.0488,-7.8798585,44.67682
5388,13640792903407,-0.06334591,-0.11906409,-0.1693058,0.039627075,-0.05873108,0.0138549805,246.03966,-7.8891115,44.701256
5389,13640797572597,-0.043530464,-0.052976906,-0.22245836,0.027633667,-0.048950195,0.019302368,246.04196,-7.8985176,44.724613
5390,13640802485927,0.073684216,0.0062499046,-0.2263403,0.016906738,-0.044677734,0.021453857,246.05331,-7.9103045,44.776302
5391,13640812495692,0.05733204,0.079648554,-0.26304722,0.010467529,-0.044677734,0.022476196,246.07043,-7.918044,44.800854
5392,13640817470057,-0.017865658,0.121905744,-0.1625886,0.0050811768,-0.043502808,0.019210815,246.09537,-7.926398,44.818657
5393,13640822627528,-0.064101696,0.14737827,-0.055904865,6.1035156E-5,-0.038482666,0.015213013,246.11026,-7.93471,44.830803
5394,13640827449306,-0.11183882,0.09704262,-0.035556793,-0.0023651123,-0.026870728,0.012817383,246.11798,-7.939192,44.83668
5395,13640832454188,-0.05965805,0.08021313,-0.053530693,-0.0043182373,-0.010040283,0.010757446,246.12547,-7.9418683,44.84191
5396,13640837428554,-0.04051304,0.113057494,-0.15677881,-0.001953125,-0.0010223389,0.010635376,246.16101,-7.9476943,44.847485
5397,13640842433436,-0.07805443,0.11242491,-0.11291838,0.0032043457,-0.003753662,0.008621216,246.17471,-7.954248,44.84906
5398,13640847407802,-0.12729073,0.050263166,-0.17306042,0.005432129,-0.014419556,0.008544922,246.18259,-7.958619,44.853073
5399,13640852778895,-0.12928724,0.047531188,-0.20397854,0.00843811,-0.02330017,0.0075531006,246.19202,-7.964445,44.86141
5400,13640857387050,-0.12183714,0.0140144825,-0.14018679,0.011810303,-0.020141602,0.007659912,246.16061,-7.9683256,44.868023
5401,13640862391932,-0.11666155,-0.026381671,-0.10775089,0.013961792,-0.008605957,0.008407593,246.15657,-7.9694986,44.872593
5402,13640867366298,-0.14173889,-0.10665816,0.06322098,0.01600647,0.009506226,0.0064849854,246.13336,-7.963449,44.86647
5403,13640872371181,-0.13535309,-0.15802974,0.15195417,0.017333984,0.02368164,0.0066223145,246.09914,-7.952964,44.852787
5404,13640877345546,-0.1736145,-0.13348621,0.12639093,0.020690918,0.021942139,0.007965088,246.03433,-7.9446154,44.83629
5405,13640882716640,-0.17870617,-0.09979111,0.028072357,0.024337769,0.008621216,0.011077881,246.01054,-7.940629,44.824627
5406,13640887324794,-0.18194151,-0.12998098,-0.038210392,0.022216797,-0.0077056885,0.015533447,245.98581,-7.934668,44.82007
