DownTime,EventTime,Keypress
13434720000000,13434794000000,KEYCODE_7
13435186000000,13435261000000,KEYCODE_9
13435795000000,13435861000000,KEYCODE_9
13436361000000,13436444000000,KEYCODE_1
13436886000000,13436960000000,KEYCODE_4
13437478000000,13437577000000,KEYCODE_7
13438086000000,13438177000000,KEYCODE_8
13438652000000,13438710000000,KEYCODE_3
13439219000000,13439335000000,KEYCODE_0
13439852000000,13439910000000,KEYCODE_2
13440377000000,13440451000000,KEYCODE_6
13440919000000,13440976000000,KEYCODE_5
13441419000000,13441501000000,KEYCODE_6
13442010000000,13442085000000,KEYCODE_8
13442577000000,13442668000000,KEYCODE_7
13443127000000,13443185000000,KEYCODE_9
13443677000000,13443752000000,KEYCODE_2
13444261000000,13444360000000,KEYCODE_0
13444869000000,13444943000000,KEYCODE_3
13445461000000,13445544000000,KEYCODE_4
13445995000000,13446069000000,KEYCODE_5
13446570000000,13446637000000,KEYCODE_1
13447079000000,13447145000000,KEYCODE_6
13447638000000,13447746000000,KEYCODE_0
13448189000000,13448255000000,KEYCODE_8
13448739000000,13448830000000,KEYCODE_4
13449297000000,13449347000000,KEYCODE_2
13449781000000,13449872000000,KEYCODE_7
13450322000000,13450413000000,KEYCODE_1
13450847000000,13450905000000,KEYCODE_9
13451381000000,13451455000000,KEYCODE_3
13451872000000,13451947000000,KEYCODE_5
13452422000000,13452513000000,KEYCODE_7
13452981000000,13453064000000,KEYCODE_1
13453489000000,13453539000000,KEYCODE_9
13453998000000,13454047000000,KEYCODE_8
13454557000000,13454648000000,KEYCODE_0
13455074000000,13455140000000,KEYCODE_5
13455574000000,13455665000000,KEYCODE_4
13456124000000,13456181000000,KEYCODE_3
13456640000000,13456706000000,KEYCODE_2
13457182000000,13457240000000,KEYCODE_6
13457699000000,13457773000000,KEYCODE_5
13458199000000,13458248000000,KEYCODE_8
13458707000000,13458740000000,KEYCODE_9
13459199000000,13459273000000,KEYCODE_4
13459715000000,13459790000000,KEYCODE_2
13460265000000,13460348000000,KEYCODE_0
13460807000000,13460898000000,KEYCODE_7
13461299000000,13461348000000,KEYCODE_6
13461815000000,13461881000000,KEYCODE_3
13462290000000,13462382000000,KEYCODE_1
13462807000000,13462907000000,KEYCODE_7
13463349000000,13463440000000,KEYCODE_4
13463891000000,13463957000000,KEYCODE_2
13464367000000,13464450000000,KEYCODE_9
13464876000000,13464942000000,KEYCODE_6
13465384000000,13465459000000,KEYCODE_1
13465910000000,13465976000000,KEYCODE_3
13466402000000,13466468000000,KEYCODE_8
13466894000000,13466943000000,KEYCODE_5
13467553000000,13467652000000,KEYCODE_0
13468119000000,13468169000000,KEYCODE_9
13468669000000,13468769000000,KEYCODE_0
13469202000000,13469260000000,KEYCODE_6
13469703000000,13469794000000,KEYCODE_4
13470219000000,13470277000000,KEYCODE_8
13470744000000,13470810000000,KEYCODE_2
13471294000000,13471335000000,KEYCODE_3
13471802000000,13471885000000,KEYCODE_1
13472352000000,13472427000000,KEYCODE_5
13472869000000,13472968000000,KEYCODE_7
13473444000000,13473535000000,KEYCODE_1
13474069000000,13474152000000,KEYCODE_7
13474702000000,13474760000000,KEYCODE_9
13475211000000,13475268000000,KEYCODE_6
13475686000000,13475743000000,KEYCODE_5
13476211000000,13476277000000,KEYCODE_2
13476803000000,13476877000000,KEYCODE_0
13477328000000,13477419000000,KEYCODE_4
13477861000000,13477919000000,KEYCODE_8
13478370000000,13478419000000,KEYCODE_3
13478862000000,13478903000000,KEYCODE_5
13479378000000,13479444000000,KEYCODE_7
13479887000000,13479936000000,KEYCODE_8
13480345000000,13480403000000,KEYCODE_9
13480854000000,13480920000000,KEYCODE_6
13481354000000,13481429000000,KEYCODE_2
13481888000000,13481971000000,KEYCODE_1
13482372000000,13482463000000,KEYCODE_4
13482914000000,13482971000000,KEYCODE_3
13483422000000,13483521000000,KEYCODE_0
13483922000000,13483988000000,KEYCODE_8
13484530000000,13484596000000,KEYCODE_3
13485030000000,13485096000000,KEYCODE_9
13485514000000,13485588000000,KEYCODE_5
13486031000000,13486072000000,KEYCODE_6
13486532000000,13486598000000,KEYCODE_2
13487015000000,13487082000000,KEYCODE_4
13487724000000,13487799000000,KEYCODE_0
13488258000000,13488333000000,KEYCODE_7
13488776000000,13488867000000,KEYCODE_1
13489368000000,13489434000000,KEYCODE_3
13489877000000,13489934000000,KEYCODE_9
13490444000000,13490510000000,KEYCODE_2
13490961000000,13491044000000,KEYCODE_8
13491528000000,13491594000000,KEYCODE_1
13492053000000,13492145000000,KEYCODE_7
13492679000000,13492770000000,KEYCODE_0
13493504000000,13493578000000,KEYCODE_5
13494045000000,13494086000000,KEYCODE_6
13494545000000,13494620000000,KEYCODE_4
13495120000000,13495186000000,KEYCODE_2
13495662000000,13495753000000,KEYCODE_9
13496213000000,13496262000000,KEYCODE_3
13496704000000,13496779000000,KEYCODE_4
13497263000000,13497337000000,KEYCODE_1
13497796000000,13497871000000,KEYCODE_5
13498388000000,13498454000000,KEYCODE_6
13498955000000,13499063000000,KEYCODE_0
13499463000000,13499504000000,KEYCODE_8
13499980000000,13500079000000,KEYCODE_7
13500497000000,13500579000000,KEYCODE_4
13500988000000,13501054000000,KEYCODE_6
13501505000000,13501571000000,KEYCODE_9
13502022000000,13502080000000,KEYCODE_2
13502538000000,13502630000000,KEYCODE_7
13503105000000,13503196000000,KEYCODE_1
13503639000000,13503713000000,KEYCODE_8
13504214000000,13504321000000,KEYCODE_0
13504789000000,13504830000000,KEYCODE_3
13505230000000,13505296000000,KEYCODE_5
13505780000000,13505830000000,KEYCODE_9
13506305000000,13506371000000,KEYCODE_1
13506822000000,13506880000000,KEYCODE_6
13507339000000,13507397000000,KEYCODE_2
13507797000000,13507863000000,KEYCODE_5
13508322000000,13508397000000,KEYCODE_3
13508797000000,13508872000000,KEYCODE_8
13509331000000,13509405000000,KEYCODE_4
13509898000000,13509947000000,KEYCODE_7
13510457000000,13510556000000,KEYCODE_0
13511074000000,13511132000000,KEYCODE_2
13511591000000,13511666000000,KEYCODE_1
13512134000000,13512200000000,KEYCODE_9
13512651000000,13512717000000,KEYCODE_3
13513210000000,13513259000000,KEYCODE_6
13513727000000,13513809000000,KEYCODE_7
13514219000000,13514285000000,KEYCODE_5
13514711000000,13514786000000,KEYCODE_4
13515370000000,13515461000000,KEYCODE_0
13515862000000,13515945000000,KEYCODE_8
13516354000000,13516412000000,KEYCODE_5
13516888000000,13516921000000,KEYCODE_3
13517388000000,13517471000000,KEYCODE_4
13517955000000,13518038000000,KEYCODE_1
13518505000000,13518588000000,KEYCODE_0
13519055000000,13519163000000,KEYCODE_7
13519614000000,13519663000000,KEYCODE_2
13520122000000,13520171000000,KEYCODE_6
13520672000000,13520738000000,KEYCODE_8
13521213000000,13521246000000,KEYCODE_9
13521705000000,13521779000000,KEYCODE_3
13522205000000,13522254000000,KEYCODE_8
13522680000000,13522746000000,KEYCODE_9
13523189000000,13523263000000,KEYCODE_2
13523722000000,13523813000000,KEYCODE_4
13524255000000,13524305000000,KEYCODE_5
13524780000000,13524871000000,KEYCODE_0
