Timestamp,x,y,z,a,b,c,alpha,beta,gamma
1482277609203,0.025725365,0.053880513,0.0010001659,0.0059661865,0.0012512207,0.0024871826,167.61877,11.510178,-71.4051
1482277609208,0.018453598,0.069820225,-0.07214022,-3.3569336E-4,0.0017700195,3.2043457E-4,167.60474,11.499555,-71.409195
1482277609213,0.027784348,0.071650326,-0.080845594,-0.0056762695,0.0049743652,-0.0016326904,167.59387,11.492644,-71.41389
1482277609218,-0.024287224,0.040587306,-0.009032011,-0.010528564,0.0077819824,-0.002532959,167.59088,11.491992,-71.416756
1482277609223,0.0019874573,0.040519357,-0.05106902,-0.0135650635,0.0084991455,-0.002746582,167.573,11.493732,-71.421394
1482277609228,-0.009716988,0.016928315,-0.038421154,-0.014633179,0.00831604,-0.004043579,167.57617,11.50029,-71.42559
1482277609233,0.03534031,-0.0016581416,0.033185482,-0.015945435,0.01109314,-0.006439209,167.58496,11.509228,-71.42583
1482277609238,-0.009654999,0.04379189,0.0027945042,-0.018112183,0.012924194,-0.008682251,167.58838,11.515272,-71.42902
1482277609243,-0.03299427,0.013406575,-0.12635899,-0.020233154,0.016921997,-0.008102417,167.58118,11.531839,-71.43888
1482277609248,0.014753342,0.03057319,-0.07242632,-0.021881104,0.018981934,-0.008728027,167.58936,11.546676,-71.44708
1482277609253,0.0077791214,-0.0020717978,-0.13944602,-0.021606445,0.015548706,-0.007583618,167.60046,11.566355,-71.457565
1482277609258,-0.022782326,-0.02263856,-0.043149233,-0.019638062,0.0087890625,-0.006210327,167.61542,11.585795,-71.46322
1482277609263,-0.013061523,-0.07147884,-0.08017588,-0.014694214,0.0012207031,-0.004043579,167.62598,11.610419,-71.46806
1482277609268,-0.03893566,-0.035110414,-0.039354324,-0.007888794,-0.005706787,-0.001876831,167.63788,11.623691,-71.46983
1482277609273,-0.08592987,-0.022852361,0.06454849,-8.087158E-4,-0.009750366,-7.6293945E-5,167.64435,11.627026,-71.46604
1482277609279,-0.073574066,-0.039202034,0.09892583,0.0051727295,-0.010223389,0.0012512207,167.65057,11.627739,-71.45932
1482277609283,-0.04240799,-0.024874806,0.15903997,0.011245728,-0.0079956055,0.0028076172,167.65948,11.621965,-71.450035
1482277609288,-0.004386902,0.024590492,0.03459549,0.016601563,-0.0047912598,0.0035552979,167.65015,11.610094,-71.446884
1482277609293,3.1280518E-4,0.026308954,-0.010809422,0.019073486,-0.0037231445,0.0053253174,167.63782,11.597507,-71.44653
1482277609305,-0.0067481995,0.03413278,-0.013140678,0.01977539,-0.0034179688,0.005630493,167.61365,11.567106,-71.448845
1482277609308,-0.023283005,2.3496151E-4,-0.01807332,0.01977539,-0.004852295,0.0049438477,167.60266,11.556154,-71.448784
1482277609313,-0.016077995,0.025709331,0.0077281,0.019042969,-0.006225586,0.0053100586,167.58936,11.541953,-71.44762
1482277609318,-0.016005516,0.041540384,0.012101173,0.015487671,-0.0053710938,0.005584717,167.57373,11.525547,-71.44657
1482277609323,-0.056015015,0.052593946,0.06617308,0.010528564,-0.0023345947,0.0053863525,167.56628,11.507774,-71.44468
1482277609330,0.04367256,0.08247197,-0.035722017,0.006668091,0.0033416748,0.006011963,167.54608,11.490247,-71.44782
1482277609332,0.0033388138,0.060184658,-0.03973341,0.0038909912,0.009048462,0.0064849854,167.52881,11.477412,-71.4531
1482277609339,-0.00592041,0.04983908,-0.08133507,0.0017852783,0.011306763,0.007537842,167.51178,11.467111,-71.461266
1482277609344,-0.02221489,0.037285507,-0.08725858,-3.3569336E-4,0.011489868,0.008148193,167.47522,11.459808,-71.469284
1482277609347,0.011181831,-0.003487587,-0.027086258,-0.002609253,0.009338379,0.008148193,167.46875,11.456695,-71.47336
1482277609354,0.034810066,-0.015547872,-0.0737803,-0.0042419434,0.0061035156,0.0076446533,167.46527,11.457177,-71.47817
1482277609358,0.001537323,-0.0062364936,-0.058859587,-0.004272461,0.0028686523,0.007080078,167.4607,11.455718,-71.48198
1482277609364,0.003891945,-0.020591915,0.021860361,-0.0037231445,-9.0026855E-4,0.0065460205,167.43646,11.453617,-71.48086
1482277609369,-0.029232979,-0.001799345,-0.030444145,-0.0037231445,-0.004043579,0.0065307617,167.43134,11.449329,-71.48186
1482277609375,-7.1430206E-4,-0.07993764,0.07582641,-0.0032043457,-0.0051574707,0.007080078,167.43994,11.453712,-71.47672
1482277609379,-0.03381443,-0.034705877,0.03011179,-9.3078613E-4,-0.0051574707,0.006515503,167.44012,11.452015,-71.47448
1482277609383,-0.07608318,-0.05126506,0.14056253,0.0034942627,-0.0051574707,0.006011963,167.42908,11.448668,-71.467674
1482277609390,-0.021229744,-0.044196725,0.061184645,0.007675171,-0.006362915,0.007217407,167.42816,11.444338,-71.463455
1482277609394,-0.073064804,-0.027798831,0.055615664,0.009689331,-0.0066986084,0.0075531006,167.42297,11.436611,-71.46036
1482277609400,-0.048933983,-0.082434475,0.061867476,0.010726929,-0.00680542,0.008239746,167.4253,11.435404,-71.456
1482277609403,-0.048576355,-0.07292241,0.16022396,0.011230469,-0.005493164,0.0110321045,167.41565,11.429335,-71.447876
1482277609409,-0.022213936,-0.06834108,0.07845783,0.011871338,-0.0027923584,0.012420654,167.41266,11.423065,-71.44387
1482277609413,-0.010211945,-0.07795298,0.061177254,0.012954712,-0.0012969971,0.011764526,167.41125,11.419185,-71.440796
1482277609418,-0.014796257,-0.033147037,0.06304741,0.0126953125,0.0017852783,0.010696411,167.40344,11.409748,-71.438805
1482277609424,-0.0429039,-0.0098698735,0.015482187,0.010238647,0.0047454834,0.009613037,167.38306,11.400415,-71.440475
1482277609429,0.0071611404,-0.012708545,0.013292551,0.0077819824,0.0068206787,0.008575439,167.37402,11.392848,-71.442154
1482277609433,-0.006925583,-0.034253478,0.030037165,0.005584717,0.008331299,0.0074768066,167.37134,11.390957,-71.44309
1482277609440,-0.006716728,-0.03198868,-0.014679909,0.0055389404,0.008728027,0.006362915,167.36841,11.390723,-71.44639
1482277609443,-0.0017900467,-0.067495525,-0.037781477,0.0058898926,0.008728027,0.006011963,167.367,11.396859,-71.450294
1482277609449,0.04558468,-0.0011778474,0.02665019,0.0058898926,0.008728027,0.005279541,167.3609,11.391447,-71.45111
1482277609452,0.017033577,0.031556726,-0.010935783,0.0066375732,0.009475708,0.0049438477,167.34924,11.382618,-71.4545
1482277609460,0.06427765,0.014456272,-0.052869797,0.0055236816,0.009796143,0.0042419434,167.3407,11.378035,-71.45926
1482277609463,0.023744583,0.021216154,-0.014302492,0.004058838,0.008270264,0.0031280518,167.31854,11.372906,-71.46217
1482277609468,-0.03772354,-0.012128472,-0.04457712,0.002166748,0.006072998,0.0012359619,167.31702,11.374986,-71.46662
1482277609475,0.014608383,0.002072692,-0.07936859,0.0024108887,0.0055236816,6.713867E-4,167.31476,11.376841,-71.47161
1482277609479,0.007457733,-3.9237738E-4,0.03238225,0.0043182373,0.002243042,6.713867E-4,167.31323,11.374855,-71.47099
1482277609483,-0.0067682266,0.0018111467,-0.041097164,0.005645752,-0.0012512207,0.0023498535,167.29474,11.372799,-71.47299
1482277609489,-0.0067691803,-0.005546272,0.008589983,0.008224487,-0.0050964355,0.0028076172,167.29083,11.3678,-71.47159
1482277609493,-0.013874054,0.06976819,0.027107,0.011581421,-0.006225586,0.0028076172,167.27484,11.350422,-71.469734
1482277609499,-0.061027527,0.009807348,0.021912813,0.013153076,-0.0036315918,0.004547119,167.26593,11.3407,-71.46872
1482277609503,0.024454117,0.054148972,-0.0562737,0.013366699,-3.8146973E-4,0.0049438477,167.25336,11.326046,-71.47127
1482277609509,-0.0017061234,0.05089426,-0.093634605,0.015151978,-7.171631E-4,0.0049438477,167.23602,11.312887,-71.47622
1482277609513,0.033679962,0.07595301,-0.1331954,0.01550293,-0.0054473877,0.005859375,167.21423,11.295834,-71.481766
1482277609519,0.016783714,0.06298697,-0.064017534,0.016357422,-0.007095337,0.0051574707,167.19415,11.277138,-71.48329
1482277609524,0.0070972443,0.02428323,-0.028476,0.015640259,-0.009140015,0.0040283203,167.18585,11.265393,-71.48276
1482277609528,0.016358376,0.014236152,-0.123114586,0.014556885,-0.0084991455,0.0038757324,167.17572,11.257965,-71.485985
1482277609533,0.020837784,0.04442656,-0.0894413,0.012512207,-0.0074157715,0.0038757324,167.16144,11.245586,-71.48817
1482277609539,0.015859604,0.06263578,-0.093734264,0.008407593,-0.005355835,0.0029144287,167.14539,11.232197,-71.4912
1482277609544,0.036916733,0.04307002,-0.08607626,0.0030975342,-0.0032043457,8.544922E-4,167.13824,11.224599,-71.49391
1482277609549,0.034202576,0.052129388,-0.06662369,-0.0028533936,-0.0030212402,6.713867E-4,167.12958,11.217706,-71.49602
1482277609553,0.03150177,0.039983094,-0.056780815,-0.009750366,-0.0050354004,-3.2043457E-4,167.12512,11.214441,-71.49744
1482277609559,-0.023133278,-0.0026046634,-0.05414605,-0.01524353,-0.0051574707,-0.0014038086,167.12964,11.220034,-71.49876
1482277609563,-0.04189968,-0.054197967,0.07833314,-0.017532349,-0.004135132,-0.0014648438,167.12616,11.231101,-71.493965
1482277609568,-0.051032066,-0.08413571,0.06109953,-0.019699097,-9.765625E-4,6.2561035E-4,167.14532,11.247259,-71.490486
1482277609574,-0.041168213,-0.0666458,0.09604311,-0.019744873,1.6784668E-4,6.713867E-4,167.16132,11.259473,-71.48608
1482277609578,-0.03606987,-0.07292992,0.147331,-0.020736694,0.0031433105,0.0026550293,167.1781,11.271065,-71.479904
1482277609583,-0.016792297,-0.024964511,0.101567745,-0.02078247,0.008773804,0.0038909912,167.19263,11.2755995,-71.477036
1482277609588,-0.027638435,-0.012552261,0.12680888,-0.01751709,0.013000488,0.004928589,167.2016,11.281423,-71.47332
1482277609599,-0.022493362,0.003994167,0.08856058,-0.013061523,0.012908936,0.003967285,167.19891,11.278737,-71.47327
1482277609602,-0.007985115,-0.010437965,0.12130451,-0.005554199,0.010696411,0.006011963,167.2049,11.27394,-71.470695
1482277609609,-0.017227173,-0.017764926,0.10411215,0.0069122314,0.006591797,0.0049591064,167.20135,11.268683,-71.46853
1482277609613,-0.03324318,-0.02063626,0.02538085,0.012634277,0.0043640137,0.0049438477,167.1969,11.264403,-71.46874
1482277609618,0.030823708,-0.06811142,0.020528078,0.016662598,0.0032806396,0.004760742,167.19116,11.259176,-71.469284
1482277609624,0.025903702,-0.020703375,-0.055078745,0.01763916,0.002532959,0.0027008057,167.18848,11.259664,-71.47126
1482277609632,-0.056829453,-0.023186743,-0.061450005,0.01725769,0.0049438477,0.0016174316,167.18494,11.260577,-71.47664
1482277609638,-0.01133728,-0.013749719,-0.046302557,0.013763428,0.009124756,5.493164E-4,167.18213,11.262158,-71.481926
1482277609643,7.3719025E-4,0.040600717,-0.16105676,0.008773804,0.012084961,-4.7302246E-4,167.17249,11.2617445,-71.49293
