"id","Timestamp","alpha","beta","gamma","SqSumA","SqSumG","SqSumO","MagnA","MagnG","MagnO","XdeltaA","YdeltaA","ZdeltaA","XdeltaG","YdeltaG","ZdeltaG","belongsToKey","xA","yA","zA","xG","yG","zG"
7183,19849550021989,245.02763,-8.562412,64.16889,0.036405422957721,0.0101731778117139,64229.5008065067,0.190802051764967,0.100862172352741,253.435397698322,-0.007670402,0.0214538574,-0.10843133,0.00622558499999999,-0.004379272,-0.002166748,TRUE,-0.026218414,0.027706325,-0.1869502,0.092300415,-0.039794922,-0.008377075
7184,19849554996354,245.05374,-8.608267,64.18456,0.0322453653793102,0.0101690119413817,64245.0954911245,0.179569945646008,0.100841518936308,253.466162418427,-0.019378662,0.039974275,0.02699518,0.002655029,0.00746154800000001,-0.001968384,TRUE,-0.045597076,0.0676806,-0.15995502,0.094955444,-0.032333374,-0.010345459
7185,19849559970719,245.07645,-8.648292,64.20789,0.140388621738272,0.00912654060372675,64259.9124373719,0.374684696429241,0.0955329294208376,253.495389380896,-0.014351844,-0.08315176,-0.209579,-0.00341796799999999,0.007064819,-9.15530000000012e-05,TRUE,-0.05994892,-0.01547116,-0.36953402,0.091537476,-0.025268555,-0.010437012
7186,19849565341813,245.08604,-8.6806755,64.22459,0.0930778649625008,0.00772766265398955,64267.319090686,0.305086651563946,0.0879071251605327,253.509998009321,-0.0329504,-0.06132984,0.08926774,-0.005340576,0.012207032,-0.000839233,TRUE,-0.09289932,-0.076801,-0.28026628,0.0861969,-0.013061523,-0.011276245
7187,19849569949967,245.11609,-8.715487,64.234924,0.0557298875221782,0.0052134711023851,64283.9827518211,0.236071784680377,0.0722043703828591,253.542861764675,0.052626607,0.10970157,0.04999351,-0.01454163,0.0177459712,0.0037231444,TRUE,-0.040272713,0.03290057,-0.23027277,0.07165527,0.0046844482,-0.0075531006
7188,19849574924332,245.14598,-8.7522545,64.24507,0.102425333723201,0.00332803162932274,64300.5824882981,0.32003958149454,0.0576890945441402,253.575595214323,0.053407669,0.12397862,-0.04836988,-0.01847839,0.0175781248,0.0054016113,TRUE,0.013134956,0.15687919,-0.27864265,0.05317688,0.022262573,-0.0021514893
7189,19849579959733,245.17926,-8.786446,64.249886,0.0517805681759641,0.00174785726684117,64318.1190184715,0.227553440263961,0.041807382922651,253.610171362411,0.035672188,0.000765559999999998,0.12196922,-0.019714356,0.002593994,0.005355835,TRUE,0.048807144,0.15764475,-0.15667343,0.033462524,0.024856567,0.0032043457
7190,19849584903580,245.2048,-8.809791,64.25169,0.0494683810724262,0.000275655190570593,64331.2860283598,0.222414885006436,0.0166028669382909,253.636129185808,0.063379286,0.02970564,0.114454745,-0.022659301,-0.015380859,0.0051116943,TRUE,0.11218643,0.18735039,-0.042218685,0.010803223,0.009475708,0.00831604
7191,19849589877946,245.24559,-8.827202,64.25405,0.0185541344988537,0.00025569088868084,64351.9018509994,0.1362135620959,0.0159903373535657,253.676766478524,-0.076688765,-0.05734712,0.062047958,-0.021057129,-0.0148773193,0.002700806,FALSE,0.035497665,0.13000327,0.019829273,-0.010253906,-0.0054016113,0.011016846
7192,19849595218522,245.25766,-8.830525,64.256065,0.0369202897865549,0.00105174843745649,64358.1398497354,0.192146532070071,0.0324306712458513,253.689061352151,0.025418282,0.03058857,0.066308977,-0.017700196,-0.0071105957,-0.000350952,FALSE,0.060915947,0.16059184,0.08613825,-0.027954102,-0.012512207,0.010665894
7193,19849599826676,245.27386,-8.8346815,64.25594,0.0192691055931748,0.00178373921341694,64366.1438217897,0.138813203958322,0.0422343369004053,253.704836023655,0.001667973,-0.04038012,-0.116163255,-0.012390138,0.002166748,-0.00366211,FALSE,0.06258392,0.12021172,-0.030025005,-0.04034424,-0.010345459,0.007003784
7194,19849604801041,245.29086,-8.834517,64.26043,0.0244073301775915,0.00201252968044136,64375.0575539478,0.156228455082906,0.0448612269163624,253.72240254646,0.02070427,-0.049636006,0.14178133,-0.004318236,0.0069274902,-0.0045318602,FALSE,0.08328819,0.070575714,0.111756325,-0.044662476,-0.0034179688,0.0024719238
7195,19849609775407,245.30109,-8.827477,64.25702,0.0179008210613933,0.00198804697121437,64379.513724654,0.133793950017904,0.0445875203528338,253.7311839815,-0.059557912,-0.0683732628,0.019897935,0.000442506000000002,0.0081787108,-0.0056304931,FALSE,0.023730278,0.0022024512,0.13165426,-0.04421997,0.004760742,-0.0031585693
7196,19849614780289,245.29851,-8.815216,64.24951,0.00472497018584581,0.00190886613222778,64377.0665765869,0.0687384185579346,0.0436905725783925,253.726361611455,0.018959999,-0.0161767602,-0.07962322,0.00286865,0.0059814455,-0.0059814457,FALSE,0.042690277,-0.013974309,0.05203104,-0.04135132,0.0107421875,-0.009140015
