Timestamp,x,y,z,alpha,beta,gamma
12/06/2016 23:04:55:2,0.018972397,-0.040935427,0.20239592,-0.012420654,-0.00579834,-0.005844116
12/06/2016 23:04:55:3,-0.07303715,-0.05894324,-0.088749886,0.009017944,0.007507324,-0.011764526
12/06/2016 23:04:55:4,0.044867516,-0.13152936,0.09206152,-0.0010528564,0.013717651,-0.0028533936
12/06/2016 23:04:55:4,-0.06086254,-0.09389284,-0.031648636,0.008239746,-0.004257202,-7.171631E-4
12/06/2016 23:04:55:5,0.018370628,0.07444951,-0.2172823,-0.04185486,0.016708374,0.0032043457
12/06/2016 23:04:55:5,-0.0029916763,-0.060433656,-0.06386423,-0.0010528564,-4.4250488E-4,-0.0035705566
12/06/2016 23:04:55:6,0.108795166,-0.1656233,-0.040645123,0.0496521,0.10195923,-0.05293274
12/06/2016 23:04:55:7,-0.0035896301,-0.13854533,-0.075837135,0.21492004,-0.10559082,0.027175903
12/06/2016 23:04:55:8,-0.1687622,0.2994998,-0.41782522,-0.018081665,-0.008331299,0.045272827
12/06/2016 23:04:55:8,-0.1514473,0.16526634,-0.047498226,-0.02671814,0.08274841,0.0140686035
12/06/2016 23:04:55:9,0.102083206,0.31365913,-0.039576054,-0.02708435,0.0061798096,0.017562866
12/06/2016 23:04:56:0,0.18352795,-0.024478495,0.29838467,0.005493164,-0.031921387,0.005584717
12/06/2016 23:04:56:0,0.004337311,-0.033082366,0.16977644,-0.027709961,0.0025787354,0.007446289
