Timestamp,x,y,z,alpha,beta,gamma,keyPressed,key_x,key_y
1481470250514,0.21942711,0.09669608,-0.14543295,0.06651306,0.016448975,0.041046143,null,0,0
1481470250519,0.22731781,0.055431098,-0.33024096,0.06367493,0.013961792,0.03767395,null,0,0
1481470250524,0.23504639,0.045541734,-0.4028008,0.056793213,0.0093688965,0.033416748,null,0,0
1481470250530,0.23313808,7.3847175E-4,-0.41135025,0.04701233,0.0026245117,0.028808594,null,0,0
1481470250534,0.17447567,0.044152886,-0.4460721,0.03616333,-0.0052490234,0.022232056,null,0,0
1481470250539,0.15401459,-0.03264582,-0.4782436,0.023910522,-0.009017944,0.014923096,null,0,0
1481470250544,0.08410454,-0.06104058,-0.38038802,0.009124756,-0.010421753,0.008346558,null,0,0
1481470250549,-0.008908272,-0.022616655,-0.2669959,-0.0045928955,-0.013961792,0.001373291,null,0,0
1481470250554,0.06873798,-0.059681654,-0.2515092,-0.016738892,-0.018966675,-0.00289917,null,0,0
1481470250559,0.07486534,-0.046614617,-0.20087647,-0.025115967,-0.02217102,-0.006668091,null,0,0
1481470250564,0.014773369,-0.026373178,-0.16973591,-0.03225708,-0.02571106,-0.008071899,null,0,0
1481470250569,-0.05436611,-0.06512135,-0.056517363,-0.03692627,-0.03138733,-0.011276245,null,0,0
1481470250574,-0.03807926,-0.12944126,-0.022509813,-0.03729248,-0.038894653,-0.013977051,null,0,0
1481470250579,-0.066851616,-0.11551684,0.025145054,-0.033599854,-0.045669556,-0.013290405,null,0,0
1481470250584,-0.07654953,-0.09018335,-0.022194862,-0.026977539,-0.04888916,-0.009170532,null,0,0
1481470250589,-0.10746479,-0.10785249,0.24698663,-0.019332886,-0.052261353,-0.00579834,null,0,0
1481470250594,-0.08623314,-0.10454059,0.35087752,-0.009735107,-0.05618286,-0.0013427734,null,0,0
1481470250599,-0.0037260056,-0.03802553,0.2557838,0.005569458,-0.056228638,0.0039978027,null,0,0
1481470250604,0.01457119,-0.09047204,0.07707238,0.021255493,-0.04484558,0.008804321,null,0,0
1481470250609,0.068348885,-0.14024031,0.077528715,0.028411865,-0.03024292,0.0105896,null,0,0
1481470250615,0.06049061,-0.123440504,0.040760517,0.02822876,-0.01777649,0.010253906,null,0,0
1481470250619,0.029206276,-0.13023621,0.01409173,0.026992798,-0.008148193,0.00793457,null,0,0
1481470250624,5.455017E-4,-0.08251503,0.032525778,0.024673462,-0.0050964355,0.00491333,null,0,0
1481470250630,0.045199394,-0.056236148,0.01512742,0.022003174,-0.009170532,0.002243042,null,0,0
1481470250635,0.0043621063,-0.04642552,0.1344173,0.021469116,-0.017547607,-0.0030975342,null,0,0
1481470250640,0.051127434,-0.0010213852,0.12741089,0.018447876,-0.023971558,-0.008255005,null,0,0
1481470250644,0.021967888,0.056034237,0.1582663,0.015426636,-0.024520874,-0.012176514,null,0,0
1481470250649,-0.04698372,0.053912282,0.1986227,0.007598877,-0.020980835,-0.014846802,null,0,0
1481470250655,-0.051366806,0.05686012,0.18986249,-0.0021972656,-0.008346558,-0.01966858,null,0,0
1481470250660,-0.10256004,0.045906454,0.123251915,-0.0131073,0.014373779,-0.02180481,null,0,0
1481470250665,-0.15065861,0.106110156,0.10297036,-0.023925781,0.036193848,-0.023757935,null,0,0
1481470250670,-0.17700863,0.13991657,0.19883394,-0.030258179,0.048095703,-0.024658203,null,0,0
1481470250675,-0.1842308,0.16406628,0.1429019,-0.03640747,0.049728394,-0.024291992,null,0,0
1481470250680,-0.17725658,0.09110898,0.3540876,-0.04031372,0.048294067,-0.021606445,null,0,0
1481470250685,-0.09484196,0.053859174,0.4925468,-0.041000366,0.04508972,-0.016082764,null,0,0
1481470250690,-0.10751152,0.092057586,0.6204314,-0.033676147,0.04333496,-0.010040283,null,0,0
1481470250695,-0.06085682,0.131832,0.44091105,-0.021118164,0.050964355,-0.0053710938,null,0,0
1481470250700,0.10382843,0.20386815,0.09399271,-0.006225586,0.070999146,6.713867E-4,null,0,0
1481470250705,0.25817394,0.15006739,-0.23923731,0.0017089844,0.10002136,0.0038146973,null,0,0
1481470250710,0.30536652,0.18906164,-0.4600284,-1.8310547E-4,0.12748718,9.3078613E-4,null,0,0
1481470250715,0.29796314,0.15982017,-0.58657336,-0.011413574,0.14031982,-0.005859375,null,0,0
1481470250720,0.20313835,0.15973517,-0.7784815,-0.025680542,0.13630676,-0.014022827,null,0,0
1481470250725,0.36610126,0.10125488,-0.6910336,-0.04208374,0.121795654,-0.020812988,null,0,0
